,회사명,상장번호
282,대한화섬,003830
283,대현,016090
284,대호에이엘,069460
285,더블유게임즈,192080
286,더존비즈온,012510
287,덕성,004830
288,덕성우,004835
289,덕양산업,024900
290,덴티움,145720
291,도화엔지니어링,002150
292,동국제강,001230
293,동남합성,023450
294,동방,004140
295,동방아그로,007590
296,동부건설,005960
297,동부건설우,005965
298,동서,026960
299,동성제약,002210
300,동성케미컬,102260
301,동아쏘시오홀딩스,000640
302,동아에스티,170900
303,동아지질,028100
304,동아타이어,282690
305,동양,001520
306,동양2우B,001527
307,동양3우B,001529
308,동양고속,084670
309,동양생명,082640
310,동양우,001525
311,동양철관,008970
312,동양피스톤,092780
313,동원F&B,049770
314,동원금속,018500
315,동원산업,006040
316,동원수산,030720
317,동원시스템즈,014820
318,동원시스템즈우,014825
319,동일고무벨트,163560
320,동일산업,004890
321,동일제강,002690
322,동화약품,000020
323,두산,000150
324,두산2우B,000157
325,두산밥캣,241560
326,두산우,000155
327,두산중공업,034020
328,두산퓨얼셀,336260
329,두산퓨얼셀1우,33626K
330,두산퓨얼셀2우B,33626L
331,두올,016740
332,드림텍,192650
333,디씨엠,024090
334,디아이,003160
335,디아이씨,092200
336,디앤디플랫폼리츠,377190
337,디와이,013570
338,디와이파워,210540
339,디티알오토모티브,007340
340,락앤락,115390
341,롯데관광개발,032350
342,롯데렌탈,089860
343,롯데리츠,330590
344,롯데손해보험,000400
345,롯데쇼핑,023530
346,롯데정밀화학,004000
347,롯데정보통신,286940
348,롯데제과,280360
349,롯데지주,004990
350,롯데지주우,00499K
351,롯데칠성,005300
352,롯데칠성우,005305
353,롯데케미칼,011170
354,롯데푸드,002270
355,롯데하이마트,071840
356,마니커,027740
357,만도,204320
358,만호제강,001080
359,맥쿼리인프라,088980
360,맵스리얼티1,094800
361,메리츠금융지주,138040
362,메리츠증권,008560
363,메리츠화재,000060
364,메타랩스,090370
365,명문제약,017180
366,명신산업,009900
367,모나리자,012690
368,모나미,005360
369,모두투어리츠,204210
370,모토닉,009680
371,무림P&P,009580
372,무림페이퍼,009200
373,무학,033920
374,문배철강,008420
375,미래산업,025560
376,미래아이앤지,007120
377,미래에셋글로벌리츠,396690
378,미래에셋맵스리츠,357250
379,미래에셋생명,085620
380,미래에셋증권,006800
381,미래에셋증권2우B,00680K
382,미래에셋증권우,006805
383,미원상사,002840
384,미원에스씨,268280
385,미원홀딩스,107590
386,미원화학,134380
387,미창석유,003650
388,바다로19호,155900
389,방림,003610
390,백광산업,001340
391,백산,035150
392,범양건영,002410
393,베트남개발1,096300
394,벽산,007210
395,보락,002760
396,보령제약,003850
397,보해양조,000890
398,부광약품,003000
399,부국증권,001270
400,부국증권우,001275
401,부국철강,026940
402,부산산업,011390
403,부산주공,005030
404,비비안,002070
405,비상교육,100220
406,비케이탑스,030790
407,빙그레,005180
408,사조대림,003960
409,사조동아원,008040
410,사조산업,007160
411,사조씨푸드,014710
412,사조오양,006090
413,삼부토건,001470
414,삼성SDI,006400
415,삼성SDI우,006405
416,삼성공조,006660
417,삼성물산,028260
418,삼성물산우B,02826K
419,삼성바이오로직스,207940
420,삼성생명,032830
421,삼성에스디에스,018260
422,삼성엔지니어링,028050
423,삼성전기,009150
424,삼성전기우,009155
425,삼성전자,005930
426,삼성전자우,005935
427,삼성제약,001360
428,삼성중공업,010140
429,삼성중공우,010145
430,삼성증권,016360
431,삼성출판사,068290
432,삼성카드,029780
433,삼성화재,000810
434,삼성화재우,000815
435,삼아알미늄,006110
436,삼양사,145990
437,삼양사우,145995
438,삼양식품,003230
439,삼양통상,002170
440,삼양패키징,272550
441,삼양홀딩스,000070
442,삼양홀딩스우,000075
443,삼영무역,002810
444,삼영전자,005680
445,삼영화학,003720
446,삼원강재,023000
447,삼익THK,004380
448,삼익악기,002450
449,삼일씨엔에스,004440
450,삼일제약,000520
451,삼정펄프,009770
452,삼진제약,005500
453,삼천리,004690
454,삼호개발,010960
455,삼화왕관,004450
456,삼화전기,009470
457,삼화전자,011230
458,삼화콘덴서,001820
459,삼화페인트,000390
460,상상인증권,001290
461,상신브레이크,041650
462,새론오토모티브,075180
463,샘표,007540
464,샘표식품,248170
465,서연,007860
466,서연이화,200880
467,서울가스,017390
468,서울식품,004410
469,서울식품우,004415
470,서원,021050
471,서흥,008490
472,선도전기,007610
473,선진,136490
474,성문전자,014910
475,성문전자우,014915
476,성보화학,003080
477,성신양회,004980
478,성신양회우,004985
479,성안,011300
480,성창기업지주,000180
481,세기상사,002420
482,세방,004360
483,세방우,004365
484,세방전지,004490
485,세아베스틸,001430
486,세아제강,306200
487,세아제강지주,003030
488,세아특수강,019440
489,세아홀딩스,058650
490,세우글로벌,013000
491,세원이앤씨,091090
492,세원정공,021820
493,세이브존I&C,067830
494,세종공업,033530
495,세진중공업,075580
496,세하,027970
497,센트랄모텍,308170
498,센트럴인사이트,012600
499,셀트리온,068270
500,솔루스첨단소재,336370
501,솔루스첨단소재1우,33637K
502,솔루스첨단소재2우B,33637L
503,솔루엠,248070
504,송원산업,004430
505,수산중공업,017550
506,스카이라이프,053210
507,스틱인베스트먼트,026890
508,시디즈,134790
509,신대양제지,016590
510,신도리코,029530
511,신라교역,004970
512,신성이엔지,011930
513,신성통상,005390
514,신세계,004170
515,신세계 I&C,035510
516,신세계건설,034300
517,신세계인터내셔날,031430
518,신세계푸드,031440
519,신송홀딩스,006880
520,신영와코루,005800
521,신영증권,001720
522,신영증권우,001725
523,신원,009270
524,신원우,009275
525,신일전자,002700
526,신풍제약,019170
527,신풍제약우,019175
528,신풍제지,002870
529,신한서부티엔디리츠,404990
530,신한알파리츠,293940
531,신한지주,055550
532,신흥,004080
533,쌍방울,102280
534,쌍용C&E,003410
535,쌍용차,003620
536,써니전자,004770
537,쎌마테라퓨틱스,015540
538,씨아이테크,004920
539,씨에스윈드,112610
540,아남전자,008700
541,아모레G,002790
542,아모레G3우(전환),00279K
543,아모레G우,002795
544,아모레퍼시픽,090430
545,아모레퍼시픽우,090435
546,아세아,002030
547,아세아시멘트,183190
548,아세아제지,002310
549,아센디오,012170
550,아시아나IDT,267850
551,아시아나항공,020560
552,아이마켓코리아,122900
553,아이에스동서,010780
554,아주스틸,139990
555,알루코,001780
556,애경산업,018250
557,애경케미칼,161000
558,에넥스,011090
559,에스디바이오센서,137310
560,에스엘,005850
561,에스원,012750
562,에쓰씨엔지니어링,023960
563,에어부산,298690
564,에이리츠,140910
565,에이블씨엔씨,078520
566,에이엔피,015260
567,에이프로젠 MED,007460
568,에이프로젠제약,003060
569,에이플러스에셋,244920
570,엔씨소프트,036570
571,엔에스쇼핑,138250
572,엔에이치스팩19호,380440
573,엔케이,085310
574,엘브이엠씨홀딩스,900140
575,엠씨넥스,097520
576,영보화학,014440
577,영원무역,111770
578,영원무역홀딩스,009970
579,영진약품,003520
580,영풍,000670
581,영풍제지,006740
582,영화금속,012280
583,영흥,012160
584,예스코홀딩스,015360
585,오뚜기,007310
586,오리엔트바이오,002630
587,오리온,271560
588,오리온홀딩스,001800
589,와이투솔루션,011690
590,용평리조트,070960
591,우리금융지주,316140
592,우리들휴브레인,118000
593,우리종금,010050
594,우성,006980
595,우신시스템,017370
596,우진,105840
597,우진아이엔에스,010400
598,우진플라임,049800
599,웅진,016880
600,웅진씽크빅,095720
601,원림,005820
602,웰바이오텍,010600
603,윌비스,008600
604,유나이티드제약,033270
605,유니드,014830
606,유니온,000910
607,유니온머티리얼,047400
608,유니켐,011330
609,유니퀘스트,077500
610,유성기업,002920
611,유수홀딩스,000700
612,유안타증권,003470
613,유안타증권우,003475
614,유엔젤,072130
615,유유제약,000220
616,유유제약1우,000225
617,유유제약2우B,000227
618,유진투자증권,001200
619,유한양행,000100
620,유한양행우,000105
621,유화증권,003460
622,유화증권우,003465
623,율촌화학,008730
624,이건산업,008250
625,이구산업,025820
626,이노션,214320
627,이리츠코크렙,088260
628,이마트,139480
629,이수페타시스,007660
630,이수화학,005950
631,이스타코,015020
632,이아이디,093230
633,이엔플러스,074610
634,이연제약,102460
635,이월드,084680
636,이지스레지던스리츠,350520
637,이지스밸류리츠,334890
638,이화산업,000760
639,인디에프,014990
640,인바이오젠,101140
641,인스코비,006490
642,인지컨트롤스,023800
643,인천도시가스,034590
644,인터지스,129260
645,인팩,023810
646,일동제약,249420
647,일동홀딩스,000230
648,일성건설,013360
649,일성신약,003120
650,일신방직,003200
651,일신석재,007110
652,일양약품,007570
653,일양약품우,007575
654,일정실업,008500
655,일진다이아,081000
656,일진디스플,020760
657,일진머티리얼즈,020150
658,일진전기,103590
659,일진하이솔루스,271940
660,일진홀딩스,015860
661,잇츠한불,226320
662,자이에스앤디,317400
663,자화전자,033240
664,전방,000950
665,제이알글로벌리츠,348950
666,제이에스코퍼레이션,194370
667,제이준코스메틱,025620
668,제이콘텐트리,036420
669,제일기획,030000
670,제일약품,271980
671,제일연마,001560
672,제일파마홀딩스,002620
673,제주은행,006220
674,제주항공,089590
675,조광페인트,004910
676,조광피혁,004700
677,조비,001550
678,조선내화,000480
679,조선선재,120030
680,조일알미늄,018470
681,조흥,002600
682,종근당,185750
683,종근당바이오,063160
684,종근당홀딩스,001630
685,주연테크,044380
686,지누스,013890
687,지엠비코리아,013870
688,지역난방공사,071320
689,지코,010580
690,지투알,035000
691,진도,088790
692,진양산업,003780
693,진양폴리,010640
694,진양홀딩스,100250
695,진양화학,051630
696,진에어,272450
697,진원생명과학,011000
698,진흥기업,002780
699,진흥기업2우B,002787
700,진흥기업우B,002785
701,참엔지니어링,009310
702,천일고속,000650
703,체시스,033250
704,카카오,035720
705,카카오뱅크,323410
706,카카오페이,377300
707,카프로,006380
708,컨버즈,109070
709,케이비아이동국실업,001620
710,케이씨,029460
711,케이씨텍,281820
712,케이카,381970
713,케이탑리츠,145270
714,코람코에너지리츠,357120
715,코리아써우,007815
716,코리아써키트,007810
717,코리아써키트2우B,00781K
718,코리안리,003690
719,코스맥스,192820
720,코스맥스비티아이,044820
721,코스모신소재,005070
722,코스모화학,005420
723,코아스,071950
724,코오롱,002020
725,코오롱글로벌,003070
726,코오롱글로벌우,003075
727,코오롱우,002025
728,코오롱인더,120110
729,코오롱인더우,120115
730,코오롱플라스틱,138490
731,코웨이,021240
732,콤텍시스템,031820
733,쿠쿠홀딩스,192400
734,쿠쿠홈시스,284740
735,큐로,015590
736,크라운제과,264900
737,크라운제과우,26490K
738,크라운해태홀딩스,005740
739,크라운해태홀딩스우,005745
740,크래프톤,259960
741,키다리스튜디오,020120
742,키움증권,039490
743,태경비케이,014580
744,태경산업,015890
745,태경케미컬,006890
746,태광산업,003240
747,태림포장,011280
748,태양금속,004100
749,태양금속우,004105
750,태영건설,009410
751,태영건설우,009415
752,태원물산,001420
753,태평양물산,007980
754,테이팩스,055490
755,텔코웨어,078000
756,토니모리,214420
757,티에이치엔,019180
758,티와이홀딩스,363280
759,티와이홀딩스우,36328K
760,티웨이항공,091810
761,티웨이홀딩스,004870
762,파미셀,005690
763,팜스코,036580
764,팜젠사이언스,004720
765,팬오션,028670
766,퍼스텍,010820
767,퍼시스,016800
768,페이퍼코리아,001020
769,평화산업,090080
770,평화홀딩스,010770
771,포스코강판,058430
772,포스코인터내셔널,047050
773,포스코케미칼,003670
774,풀무원,017810
775,풍산,103140
776,풍산홀딩스,005810
777,프레스티지바이오파마,950210
778,플레이그램,009810
779,하나금융지주,086790
780,하나제약,293480
781,하나투어,039130
782,하이골드3호,153360
783,하이브,352820
784,하이스틸,071090
785,하이트론,019490
786,하이트진로,000080
787,하이트진로2우B,000087
788,하이트진로홀딩스,000140
789,하이트진로홀딩스우,000145
790,한국ANKOR유전,152550
791,한국가스공사,036460
792,한국공항,005430
793,한국금융지주,071050
794,한국금융지주우,071055
795,한국내화,010040
796,한국단자,025540
797,한국석유,004090
798,한국수출포장,002200
799,한국쉘석유,002960
800,한국앤컴퍼니,000240
801,한국자산신탁,123890
802,한국전력,015760
803,한국전자홀딩스,006200
804,한국조선해양,009540
805,한국종합기술,023350
806,한국주강,025890
807,한국주철관,000970
808,한국철강,104700
809,한국카본,017960
810,한국콜마,161890
811,한국콜마홀딩스,024720
812,한국타이어앤테크놀로지,161390
813,한국토지신탁,034830
814,한국특강,007280
815,한국패러랠,168490
816,한국프랜지,010100
817,한국항공우주,047810
818,한국화장품,123690
819,한국화장품제조,003350
820,한농화성,011500
821,한독,002390
822,한라,014790
823,한라홀딩스,060980
824,한미글로벌,053690
825,한미반도체,042700
826,한미사이언스,008930
827,한미약품,128940
828,한샘,009240
829,한섬,020000
830,한성기업,003680
831,한세실업,105630
832,한세엠케이,069640
833,한세예스24홀딩스,016450
834,한솔PNS,010420
835,한솔로지스틱스,009180
836,한솔제지,213500
837,한솔케미칼,014680
838,한솔테크닉스,004710
839,한솔홀딩스,004150
840,한솔홈데코,025750
841,한신공영,004960
842,한신기계,011700
843,한양증권,001750
844,한양증권우,001755
845,한온시스템,018880
846,한올바이오파마,009420
847,한익스프레스,014130
848,한일시멘트,300720
849,한일철강,002220
850,한일현대시멘트,006390
851,한일홀딩스,003300
852,한전KPS,051600
853,한전기술,052690
854,한전산업,130660
855,한진,002320
856,한진중공업홀딩스,003480
857,한진칼,180640
858,한진칼우,18064K
859,한창,005110
860,한창제지,009460
861,한컴라이프케어,372910
862,한화,000880
863,한화3우B,00088K
864,한화생명,088350
865,한화손해보험,000370
866,한화솔루션,009830
867,한화솔루션우,009835
868,한화시스템,272210
869,한화에어로스페이스,012450
870,한화우,000885
871,한화투자증권,003530
872,한화투자증권우,003535
873,해성디에스,195870
874,해태제과식품,101530
875,핸즈코퍼레이션,143210
876,현대건설,000720
877,현대건설기계,267270
878,현대건설우,000725
879,현대그린푸드,005440
880,현대글로비스,086280
881,현대두산인프라코어,042670
882,현대로템,064350
883,현대리바트,079430
884,현대모비스,012330
885,현대미포조선,010620
886,현대백화점,069960
887,현대비앤지스틸,004560
888,현대비앤지스틸우,004565
889,현대약품,004310
890,현대에너지솔루션,322000
891,현대엘리베이,017800
892,현대오토에버,307950
893,현대위아,011210
894,현대일렉트릭,267260
895,현대제철,004020
896,현대중공업,329180
897,현대중공업지주,267250
898,현대차,005380
899,현대차2우B,005387
900,현대차3우B,005389
901,현대차우,005385
902,현대차증권,001500
903,현대코퍼레이션,011760
904,현대코퍼레이션홀딩스,227840
905,현대퓨처넷,126560
906,현대해상,001450
907,현대홈쇼핑,057050
908,형지엘리트,093240
909,혜인,003010
910,호전실업,111110
911,호텔신라,008770
912,호텔신라우,008775
913,화성산업,002460
914,화승알앤에이,378850
915,화승엔터프라이즈,241590
916,화승인더,006060
917,화승코퍼레이션,013520
918,화신,010690
919,화인베스틸,133820
920,화천기계,010660
921,화천기공,000850
922,환인제약,016580
923,황금에스티,032560
924,효성,004800
925,효성ITX,094280
926,효성중공업,298040
927,효성첨단소재,298050
928,효성티앤씨,298020
929,효성화학,298000
930,후성,093370
931,휠라홀딩스,081660
932,휴니드,005870
933,휴비스,079980
934,휴스틸,005010
935,휴켐스,069260
936,흥국화재,000540
937,흥국화재2우B,000547
938,흥국화재우,000545
939,흥아해운,003280
